route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
SN_FAST_VIC_BTN,3,1010600,WA0600,SNA06,0,0,0
SN_FAST_VIC_BTN,1,1010700,WA0700,SNA07,0,0,0
SN_FAST_VIC_BTN,3,1010800,WA0800,SNA08,0,0,0
SN_FAST_VIC_BTN,1,1010900,WA0900,SNA09,0,0,0
SN_FAST_VIC_BTN,3,1011000,WA1000,SNA10,0,0,0
SN_FAST_VIC_BTN,1,1011100,WA1100,SNA11,0,0,0
SN_FAST_VIC_BTN,3,1011200,WA1200,SNA12,0,0,0
SN_FAST_VIC_BTN,1,1011300,WA1300,SNA13,0,0,0
SN_FAST_VIC_BTN,3,1011400,WA1400,SNA14,0,0,0
SN_FAST_VIC_BTN,1,1011500,WA1500,SNA15,0,0,0
SN_FAST_VIC_BTN,3,1011600,WA1600,SNA16,0,0,0
SN_FAST_VIC_BTN,1,1011700,WA1700,SNA17,0,0,0
SN_FAST_VIC_BTN,3,1011800,WA1800,SNA18,0,0,0
SN_FAST_VIC_BTN,1,1011900,WA1900,SNA19,0,0,0
SN_FAST_VIC_BTN,3,1012000,WA2000,SNA20,0,0,0
SN_FAST_VIC_BTN,1,1012100,WA2100,SNA21,0,0,0
SN_FAST_VIC_BTN,4,1012200,WA2200,SNA22,0,0,0
SN_FAST_BTN_VIC,3,1020600,WB0600,SNB06,0,0,0
SN_FAST_BTN_VIC,1,1020700,WB0700,SNB07,0,0,0
SN_FAST_BTN_VIC,3,1020800,WB0800,SNB08,0,0,0
SN_FAST_BTN_VIC,1,1020900,WB0900,SNB09,0,0,0
SN_FAST_BTN_VIC,3,1021000,WB1000,SNB10,0,0,0
SN_FAST_BTN_VIC,1,1021100,WB1100,SNB11,0,0,0
SN_FAST_BTN_VIC,3,1021200,WB1200,SNB12,0,0,0
SN_FAST_BTN_VIC,1,1021300,WB1300,SNB13,0,0,0
SN_FAST_BTN_VIC,3,1021400,WB1400,SNB14,0,0,0
SN_FAST_BTN_VIC,1,1021500,WB1500,SNB15,0,0,0
SN_FAST_BTN_VIC,3,1021600,WB1600,SNB16,0,0,0
SN_FAST_BTN_VIC,1,1021700,WB1700,SNB17,0,0,0
SN_FAST_BTN_VIC,3,1021800,WB1800,SNB18,0,0,0
SN_FAST_BTN_VIC,1,1021900,WB1900,SNB19,0,0,0
SN_FAST_BTN_VIC,3,1022000,WB2000,SNB20,0,0,0
SN_FAST_BTN_VIC,1,1022100,WB2100,SNB21,0,0,0
SN_FAST_BTN_VIC,3,1022200,WB2200,SNB22,0,0,0
SN_STOP_VIC_BTN,1,1030615,WC0615,SNC06,0,0,0
SN_STOP_VIC_BTN,1,1030645,WC0645,SNC06,0,0,0
SN_STOP_VIC_BTN,1,1030715,WC0715,SNC07,0,0,0
SN_STOP_VIC_BTN,1,1030745,WC0745,SNC07,0,0,0
SN_STOP_VIC_BTN,1,1030815,WC0815,SNC08,0,0,0
SN_STOP_VIC_BTN,1,1030845,WC0845,SNC08,0,0,0
SN_STOP_VIC_BTN,1,1030915,WC0915,SNC09,0,0,0
SN_STOP_VIC_BTN,1,1030945,WC0945,SNC09,0,0,0
SN_STOP_VIC_BTN,1,1031015,WC1015,SNC10,0,0,0
SN_STOP_VIC_BTN,1,1031045,WC1045,SNC10,0,0,0
SN_STOP_VIC_BTN,1,1031115,WC1115,SNC11,0,0,0
SN_STOP_VIC_BTN,1,1031145,WC1145,SNC11,0,0,0
SN_STOP_VIC_BTN,1,1031215,WC1215,SNC12,0,0,0
SN_STOP_VIC_BTN,1,1031245,WC1245,SNC12,0,0,0
SN_STOP_VIC_BTN,1,1031315,WC1315,SNC13,0,0,0
SN_STOP_VIC_BTN,1,1031345,WC1345,SNC13,0,0,0
SN_STOP_VIC_BTN,1,1031415,WC1415,SNC14,0,0,0
SN_STOP_VIC_BTN,1,1031445,WC1445,SNC14,0,0,0
SN_STOP_VIC_BTN,1,1031515,WC1515,SNC15,0,0,0
SN_STOP_VIC_BTN,1,1031545,WC1545,SNC15,0,0,0
SN_STOP_VIC_BTN,1,1031615,WC1615,SNC16,0,0,0
SN_STOP_VIC_BTN,1,1031645,WC1645,SNC16,0,0,0
SN_STOP_VIC_BTN,1,1031715,WC1715,SNC17,0,0,0
SN_STOP_VIC_BTN,1,1031745,WC1745,SNC17,0,0,0
